Latitude,Longitude,Accuracy,Drainage Name,Year,Month,Day,lat_lon
18.0963,-65.46301,Approximate,Greater Antilles,2016,7.0,28.0,"(-65.46301, 18.0963)"
18.11091,-65.39669,Accurate,Puerto Rican Islands,2012,9.0,2.0,"(-65.39669, 18.11091)"
18.10673,-65.41635,Accurate,Greater Antilles,2012,12.0,4.0,"(-65.41635, 18.10673)"
18.14295,-65.51343,Approximate,Greater Antilles,2013,6.0,16.0,"(-65.51343, 18.14295)"
18.11213,-65.57625,Accurate,Greater Antilles,2013,3.0,12.0,"(-65.57625, 18.11213)"
18.14295,-65.51343,Approximate,Greater Antilles,2014,3.0,18.0,"(-65.51343, 18.14295)"
18.11131,-65.38087,Accurate,Greater Antilles,2014,12.0,29.0,"(-65.38087, 18.11131)"
18.11845,-65.5771,Accurate,Puerto Rican Islands,2017,4.0,6.0,"(-65.5771, 18.11845)"
18.11203,-65.38595,Accurate,Greater Antilles,2017,7.0,8.0,"(-65.38595, 18.11203)"
17.70169,-64.88624,Accurate,Eastern Caribbean,2021,8.0,19.0,"(-64.88624, 17.70169)"
17.76205,-64.6587,Accurate,,2021,11.0,22.0,"(-64.6587, 17.76205)"
17.70169,-64.88624,Accurate,Eastern Caribbean,2020,1.0,1.0,"(-64.88624, 17.70169)"
17.73829,-64.89235,Accurate,Eastern Caribbean,2019,5.0,31.0,"(-64.89235, 17.73829)"
17.69812,-64.88858,Accurate,Eastern Caribbean,2019,3.0,2.0,"(-64.88858, 17.69812)"
17.75565,-64.72047,Approximate,Eastern Caribbean,2012,1.0,16.0,"(-64.72047, 17.75565)"
17.7139,-64.8849,Accurate,Eastern Caribbean,2008,11.0,25.0,"(-64.8849, 17.7139)"
17.7838,-64.7572,Accurate,Eastern Caribbean,2008,6.0,6.0,"(-64.7572, 17.7838)"
17.782,-64.7559,Centroid,,2008,6.0,7.0,"(-64.7559, 17.782)"
17.6419,-64.8649,Approximate,Eastern Caribbean,2009,2.0,7.0,"(-64.8649, 17.6419)"
17.7268,-64.8939,Accurate,Eastern Caribbean,2009,2.0,2.0,"(-64.8939, 17.7268)"
17.7436,-64.5708,Accurate,Eastern Caribbean,2009,2.0,25.0,"(-64.5708, 17.7436)"
17.7632,-64.8371,Accurate,Eastern Caribbean,2009,6.0,19.0,"(-64.8371, 17.7632)"
17.7645,-64.8875,Accurate,Eastern Caribbean,2009,4.0,16.0,"(-64.8875, 17.7645)"
17.7308,-64.8956,Accurate,Eastern Caribbean,2009,7.0,10.0,"(-64.8956, 17.7308)"
17.75255,-64.89505,Accurate,Eastern Caribbean,2010,1.0,31.0,"(-64.89505, 17.75255)"
17.7143,-64.8852,Accurate,Eastern Caribbean,2010,2.0,10.0,"(-64.8852, 17.7143)"
17.75539,-64.893837,Approximate,Eastern Caribbean,2010,2.0,14.0,"(-64.893837, 17.75539)"
17.7509,-64.8953,Accurate,Eastern Caribbean,2010,1.0,28.0,"(-64.8953, 17.7509)"
17.783816,-64.757833,Accurate,Eastern Caribbean,2010,1.0,10.0,"(-64.757833, 17.783816)"
17.6747,-64.8539,Accurate,Eastern Caribbean,2009,7.0,11.0,"(-64.8539, 17.6747)"
17.7508,-64.7036,Accurate,Eastern Caribbean,2010,1.0,20.0,"(-64.7036, 17.7508)"
17.7139,-64.8849,Accurate,Eastern Caribbean,2010,9.0,26.0,"(-64.8849, 17.7139)"
17.797389,-64.640694,Accurate,Eastern Caribbean,2010,9.0,24.0,"(-64.640694, 17.797389)"
17.792028,-64.645028,Accurate,Eastern Caribbean,2010,10.0,2.0,"(-64.645028, 17.792028)"
17.78338,-64.75745,Accurate,Eastern Caribbean,2010,6.0,6.0,"(-64.75745, 17.78338)"
17.71416,-64.88641,Accurate,Eastern Caribbean,2010,6.0,8.0,"(-64.88641, 17.71416)"
17.653516,-64.91168,Accurate,Eastern Caribbean,2010,6.0,9.0,"(-64.91168, 17.653516)"
17.7188,-64.88823,Accurate,Eastern Caribbean,2010,6.0,11.0,"(-64.88823, 17.7188)"
17.641842,-64.864303,Accurate,Eastern Caribbean,2010,6.0,12.0,"(-64.864303, 17.641842)"
17.71963,-64.5665,Accurate,Eastern Caribbean,2010,6.0,15.0,"(-64.5665, 17.71963)"
17.6699,-64.794,Accurate,Eastern Caribbean,2010,6.0,15.0,"(-64.794, 17.6699)"
17.7822,-64.6181,Accurate,Eastern Caribbean,2010,6.0,17.0,"(-64.6181, 17.7822)"
17.644256,-64.91433,Accurate,Eastern Caribbean,2010,6.0,18.0,"(-64.91433, 17.644256)"
17.70988,-64.88977,Accurate,Eastern Caribbean,2010,6.0,24.0,"(-64.88977, 17.70988)"
17.70988,-64.88977,Accurate,Eastern Caribbean,2010,6.0,24.0,"(-64.88977, 17.70988)"
17.76491,-64.886852,Accurate,Eastern Caribbean,2010,6.0,24.0,"(-64.886852, 17.76491)"
17.696957,-64.895286,Accurate,Eastern Caribbean,2010,6.0,26.0,"(-64.895286, 17.696957)"
17.650611,-64.902381,Accurate,Eastern Caribbean,2010,7.0,1.0,"(-64.902381, 17.650611)"
17.77396,-64.81426,Accurate,Eastern Caribbean,2010,7.0,2.0,"(-64.81426, 17.77396)"
17.755613,-64.89155,Accurate,Eastern Caribbean,2010,7.0,5.0,"(-64.89155, 17.755613)"
17.75098,-64.89508,Accurate,Eastern Caribbean,2010,7.0,7.0,"(-64.89508, 17.75098)"
17.76103,-64.6664,Accurate,St. Croix,2010,7.0,10.0,"(-64.6664, 17.76103)"
17.76666,-64.83258,Accurate,Eastern Caribbean,2010,7.0,10.0,"(-64.83258, 17.76666)"
17.75,-64.8963,Accurate,Eastern Caribbean,2010,7.0,11.0,"(-64.8963, 17.75)"
17.77841,-64.8109,Accurate,Eastern Caribbean,2010,7.0,12.0,"(-64.8109, 17.77841)"
17.71753,-64.627533,Accurate,Eastern Caribbean,2010,7.0,13.0,"(-64.627533, 17.71753)"
17.734366,-64.89495,Accurate,Eastern Caribbean,2010,7.0,14.0,"(-64.89495, 17.734366)"
17.6535,-64.90568,Accurate,Eastern Caribbean,2010,7.0,14.0,"(-64.90568, 17.6535)"
17.74461,-64.89735,Accurate,Eastern Caribbean,2010,7.0,16.0,"(-64.89735, 17.74461)"
17.77471,-64.577083,Accurate,Eastern Caribbean,2010,7.0,26.0,"(-64.577083, 17.77471)"
17.75305,-64.89583,Accurate,Eastern Caribbean,2010,7.0,28.0,"(-64.89583, 17.75305)"
17.76518,-64.84311,Accurate,Eastern Caribbean,2010,7.0,28.0,"(-64.84311, 17.76518)"
17.68895,-64.72518,Accurate,Eastern Caribbean,2010,7.0,31.0,"(-64.72518, 17.68895)"
17.70411,-64.89036,Accurate,Eastern Caribbean,2010,8.0,1.0,"(-64.89036, 17.70411)"
17.76441,-64.8873,Accurate,Eastern Caribbean,2010,8.0,1.0,"(-64.8873, 17.76441)"
17.76441,-64.8873,Accurate,Eastern Caribbean,2010,8.0,1.0,"(-64.8873, 17.76441)"
17.71375,-64.88485,Accurate,Eastern Caribbean,2010,8.0,1.0,"(-64.88485, 17.71375)"
17.777,-64.8109,Accurate,Eastern Caribbean,2010,8.0,11.0,"(-64.8109, 17.777)"
18.4086,-64.9783,Accurate,Eastern Caribbean,2010,8.0,13.0,"(-64.9783, 18.4086)"
17.65526,-64.87285,Accurate,Eastern Caribbean,2010,8.0,14.0,"(-64.87285, 17.65526)"
17.77172,-64.81755,Accurate,Eastern Caribbean,2010,8.0,15.0,"(-64.81755, 17.77172)"
17.79841,-64.54928,Accurate,Eastern Caribbean,2010,8.0,16.0,"(-64.54928, 17.79841)"
17.7002,-64.887216,Accurate,Eastern Caribbean,2010,8.0,16.0,"(-64.887216, 17.7002)"
17.76828,-64.8222,Accurate,Eastern Caribbean,2010,8.0,18.0,"(-64.8222, 17.76828)"
17.7654666,-64.8873,Accurate,Eastern Caribbean,2010,4.0,14.0,"(-64.8873, 17.7654666)"
17.68923,-64.9019,Accurate,Eastern Caribbean,2010,4.0,15.0,"(-64.9019, 17.68923)"
17.77805,-64.81111,Accurate,Eastern Caribbean,2010,4.0,22.0,"(-64.81111, 17.77805)"
17.78705,-64.7575,Accurate,Eastern Caribbean,2010,5.0,11.0,"(-64.7575, 17.78705)"
17.691033,-64.89993,Accurate,Eastern Caribbean,2010,5.0,13.0,"(-64.89993, 17.691033)"
17.76425,-64.65536,Accurate,Eastern Caribbean,2010,5.0,17.0,"(-64.65536, 17.76425)"
17.78468,-64.76246,Accurate,Eastern Caribbean,2010,5.0,18.0,"(-64.76246, 17.78468)"
17.71386,-64.88695,Accurate,Eastern Caribbean,2010,5.0,22.0,"(-64.88695, 17.71386)"
17.70285,-64.89148,Accurate,Eastern Caribbean,2010,5.0,23.0,"(-64.89148, 17.70285)"
17.71443,-64.88513,Accurate,Eastern Caribbean,2010,5.0,23.0,"(-64.88513, 17.71443)"
17.76425,-64.65536,Accurate,Eastern Caribbean,2010,5.0,25.0,"(-64.65536, 17.76425)"
17.66233,-64.8977,Accurate,Eastern Caribbean,2010,5.0,26.0,"(-64.8977, 17.66233)"
17.7188,-64.88823,Accurate,Eastern Caribbean,2010,5.0,27.0,"(-64.88823, 17.7188)"
17.72908,-64.609,Accurate,Eastern Caribbean,2010,6.0,1.0,"(-64.609, 17.72908)"
17.71363,-64.88546,Accurate,Eastern Caribbean,2010,6.0,2.0,"(-64.88546, 17.71363)"
17.75962,-64.89228,Accurate,Eastern Caribbean,2010,6.0,5.0,"(-64.89228, 17.75962)"
17.71415,-64.886216,Accurate,Eastern Caribbean,2010,4.0,26.0,"(-64.886216, 17.71415)"
17.7026333,-64.885616,Accurate,Eastern Caribbean,2010,4.0,29.0,"(-64.885616, 17.7026333)"
17.7141,-64.88665,Accurate,Eastern Caribbean,2010,5.0,6.0,"(-64.88665, 17.7141)"
17.6347666,-64.88405,Accurate,Eastern Caribbean,2010,5.0,10.0,"(-64.88405, 17.6347666)"
17.6910333,-64.89993,Accurate,Eastern Caribbean,2010,5.0,13.0,"(-64.89993, 17.6910333)"
17.7141666,-64.890833,Accurate,Eastern Caribbean,2010,5.0,15.0,"(-64.890833, 17.7141666)"
17.7144,-64.884583,Accurate,Eastern Caribbean,2010,5.0,15.0,"(-64.884583, 17.7144)"
17.7135,-64.8889,Accurate,Eastern Caribbean,2010,5.0,16.0,"(-64.8889, 17.7135)"
17.76425,-64.655366,Accurate,Eastern Caribbean,2010,5.0,17.0,"(-64.655366, 17.76425)"
17.7673666,-64.822333,Accurate,Eastern Caribbean,2010,3.0,13.0,"(-64.822333, 17.7673666)"
17.6538166,-64.8927,Accurate,Eastern Caribbean,2010,3.0,14.0,"(-64.8927, 17.6538166)"
17.7614166,-64.70025,Accurate,Eastern Caribbean,2010,3.0,31.0,"(-64.70025, 17.7614166)"
17.7009166,-64.8925,Accurate,Eastern Caribbean,2010,4.0,3.0,"(-64.8925, 17.7009166)"
17.74779,-64.69873,Approximate,St. Croix,2016,12.0,15.0,"(-64.69873, 17.74779)"
